Habitaciones,Baños,Estrato,Área_construida,Código inmueble,Barrio común,Precio,Antigüedad,Área construida,Área privada,Parqueaderos,Valor administración
3,2,4,80,MC2340266,Unicentro,$250.000.000,Entre 0 y 5 años,80 m²,80 m²,1,$190.000
1,1,5,32,MC4901383,Las Quintas,$140.000.000,Entre 0 y 5 años,32 m²,29.9 m²,,$50.000
4,4,5,137,11295-M3559600,In Altezza,$531.000.000,Entre 5 y 10 años,137.5 m²,137.5 m²,1,$338.000
5,3,2,87,10159-M4261828,Nazareth,$500.000.000,Más de 20 años,87 m²,427 m²,,
3,3,4,89,10159-M4892573,Fuente Higueras,$280.000.000,Entre 10 y 20 años,89.5 m²,89.5 m²,1,$130.000
5,5,4,370,MC4137935,urapanes,$1.100.000.000,Entre 10 y 20 años,370 m²,370 m²,2,
4,3,5,101,MC4355277,mesopotamia,$320.000.000,Entre 10 y 20 años,101 m²,101 m²,1,$377.000
2,2,5,52,MC4538304,Alameda de Unicentro,$280.000.000,Entre 0 y 5 años,52 m²,50 m²,1,$185.000
3,2,5,75,11295-M4893877,SECTOR MESOPOTAMIA TUNJA,$250.000.000,Entre 10 y 20 años,75 m²,75 m²,1,$150.000
5,5,5,137,11295-M3556844,In Altezza,$531.000.000,Entre 5 y 10 años,137.54 m²,137.54 m²,1,$358.000
