Habitaciones,Baños,Estrato,Área_construida,Código inmueble,Barrio común,Precio,Antigüedad,Área construida,Área privada,Valor administración,Parqueaderos
5,5,4,720,11295-M3359954,MIRADOR EL LAGO,$800.000.000,Entre 10 y 20 años,720 m²,720 m²,$220.000,1.0
4,3,5,138,836-M4786549,In Altezza,$477.000.000,Entre 0 y 5 años,138 m²,138 m²,$255.000,2.0
3,2,5,110,16742-M4861324,MIRADOR DE LA COLINA,$460.000.000,Entre 5 y 10 años,110.75 m²,110.75 m²,$276.000.000,1.0
5,3,3,200,3072-M3786003,VILLA LUZ,$320.000.000,Más de 20 años,200 m²,200 m²,$20.000,1.0
5,3,3,170,10159-M4958335,Tunja,$300.000.000,Más de 20 años,170 m²,170 m²,,1.0
2,2,4,52,10159-M4830919,La Maria,$219.000.000,Entre 5 y 10 años,52.49 m²,50 m²,$125.500,1.0
3,2,3,92,11295-M4204386,EL PARAISO TUNJA,$160.000.000,Entre 10 y 20 años,92 m²,92 m²,,1.0
3,2,3,71,3072-M4082468,las nieves,$265.000.000,Entre 5 y 10 años,71 m²,71 m²,$100.000,1.0
4,3,3,94,10159-M4957787,Fuente Higueras,$220.000.000,Entre 10 y 20 años,94.98 m²,94.98 m²,$136.000,1.0
2,2,4,53,12373-M4895493,Reserva Del Bosque Viva,$235.000.000,Entre 0 y 5 años,53 m²,53 m²,$190.000,1.0
2,2,4,354,11295-M3359998,SAN FRANCISCO,$530.427.129,Entre 10 y 20 años,354 m²,354 m²,,1.0
5,3,3,200,10159-M4261945,Las Nieves,$480.000.000,Más de 20 años,200 m²,250 m²,,
4,4,5,232,12373-M4953579,Santa Ines,$580.000.000,Entre 5 y 10 años,232 m²,232 m²,,1.0
2,2,5,54,10159-M4857077,Unicentro,$227.000.000,Entre 0 y 5 años,54 m²,51 m²,$215.000,1.0
3,2,3,150,10159-M4958164,Santa Lucia,$320.000.000,Más de 20 años,150 m²,150 m²,,
5,3,1,165,10159-M4848759,El Dorado,$320.000.000,Entre 0 y 5 años,165 m²,160 m²,,
5,5,6,307,10159-M4838438,Zona Centro,$3.632.000.000,Más de 20 años,307 m²,300 m²,,
3,2,5,150,16742-M4962019,SANTA INES,$500.000.000,Entre 10 y 20 años,150 m²,150 m²,,1.0
2,2,5,70,12373-M4873547,Mesopotamia,$234.000.000,Entre 10 y 20 años,70.26 m²,70.26 m²,$220.000,1.0
1,1,3,21,11295-M4783206,UPTC TUNJA,$110.000.000,Entre 5 y 10 años,21 m²,21 m²,$110.000.000,
5,5,3,344,10159-M4455463,Tunja,$300.000.000,Más de 20 años,344 m²,344 m²,,1.0
3,2,3,54,10159-M4897177,El Rodeo,$210.000.000,Entre 0 y 5 años,54 m²,51 m²,$150.000,1.0
3,3,5,116,10159-M4578888,Mesopotamia,$420.000.000,Entre 10 y 20 años,116.42 m²,110.05 m²,$360.000,1.0
3,2,4,63,10159-M3814487,Balcones De Don Espiritu,$210.000.000,Entre 0 y 5 años,63 m²,60 m²,,1.0
3,2,3,62,10159-M4897203,La Florida,$265.000.000,Entre 0 y 5 años,62.32 m²,60 m²,$160.000,1.0
3,2,4,76,10159-M4898703,El Dorado,$235.000.000,Entre 5 y 10 años,76.53 m²,73 m²,$208.200,1.0
3,3,3,107,10159-M4947520,Tunja,$270.000.000,Entre 0 y 5 años,107 m²,104 m²,,1.0
5,3,2,212,10159-M4945979,El Libertador,$480.000.000,Más de 20 años,212.8 m²,319.2 m²,,
5,5,4,400,393-M4799667,Tunja,$470.000.000,Entre 10 y 20 años,400 m²,400 m²,,2.0
2,2,3,73,10159-M4958459,Zona Centro,$174.000.000,Más de 20 años,73 m²,73 m²,$54.000,1.0
3,3,3,137,11295-M3471921,MANZANARES,$327.700.000,Entre 10 y 20 años,137 m²,137 m²,$356.200,1.0
5,5,5,543,847-M4686008,Santa Helena,$1.900.000.000,Entre 10 y 20 años,543 m²,543 m²,$500.000,4.0
2,1,4,60,2147-M4454060,tunja,$160.000.000,Entre 5 y 10 años,60 m²,60 m²,,
5,3,3,101,10159-M4912947,Los Muiscas,$250.000.000,Más de 20 años,101 m²,101 m²,,
5,5,3,435,11295-M3487997,CONDOMINIO EL LAGO,$750.000.000,Entre 5 y 10 años,435 m²,435 m²,$220.000,
4,3,5,135,10159-M4892536,Santa Ines,$450.000.000,Más de 20 años,135 m²,135 m²,,1.0
4,3,3,140,10159-M4892593,Balcones Del Norte,$335.000.000,Entre 10 y 20 años,140 m²,138 m²,,1.0
5,2,2,310,10159-M4892542,Zona Centro,$500.000.000,Más de 20 años,310 m²,310 m²,,2.0
4,2,3,190,11295-M4195326,COOSERVICIOS,$250.000.000,Entre 10 y 20 años,190 m²,190 m²,,1.0
3,2,5,103,16742-M4849226,CAPITOLIO,$260.000.000,Entre 5 y 10 años,103 m²,103 m²,$230.000,1.0
3,2,4,61,16742-M4797363,MIRADOR DEL CENTRO,$225.000.000,Entre 10 y 20 años,61 m²,61 m²,$234.000,1.0
3,2,5,76,12373-M4870999,Innalteza,$215.000.000,Entre 5 y 10 años,76.36 m²,76.36 m²,,1.0
5,5,3,280,11295-M3572887,PUENTE HAMACA,$850.000.000,Entre 5 y 10 años,280 m²,5380 m²,,4.0
3,2,4,79,11295-M4204206,MALDONADO TUNJA,$240.000.000,Entre 5 y 10 años,79 m²,79 m²,$220.000,1.0
3,2,4,122,11295-M4019770,CENTRO,$300.000.000,Entre 5 y 10 años,122 m²,122 m²,$250.000,1.0
3,1,3,62,10159-M4957842,La Florida,$130.000.000,Más de 20 años,62 m²,60 m²,,
4,3,3,250,3312-M4645187,URBANIZACION EL BOSQUE,$420.000.000,Entre 5 y 10 años,250 m²,286 m²,$420.000.000,2.0
3,2,3,150,11295-M4299919,CENTRO DE TUNJA,$320.000.000,Entre 10 y 20 años,150 m²,150 m²,,1.0
1,1,5,40,13678-M4767093,SANTA INES,$195.000.000,Entre 5 y 10 años,40 m²,37 m²,$150.000,1.0
4,3,4,168,11295-M3827533,Unicentro,$480.000.000,Entre 10 y 20 años,168.3 m²,168.3 m²,,1.0
5,3,5,101,11295-M3357205,,$600.000.000,Remodelado,101 m²,101 m²,,
5,4,5,187,MC4698620,Unicentro Tunja,$495.000.000,Entre 10 y 20 años,187 m²,187 m²,,1.0
3,2,3,102,11295-M4545278,JUAN CASTELLANOS TUNJA,$320.000.000,Entre 10 y 20 años,102 m²,102 m²,,1.0
5,3,5,101,11295-M3562129,Las Quintas,$600.000.000,Entre 5 y 10 años,101 m²,101 m²,,
3,2,4,65,10159-M4261882,Tunja,$240.000.000,Entre 5 y 10 años,65.75 m²,61.1 m²,$236.000,1.0
3,3,4,60,10159-M4430069,Balcones De Don Espiritu,$300.000.000,Entre 0 y 5 años,60.93 m²,60.93 m²,,1.0
3,2,3,82,11295-M4770235,MALDONADO TUNJA,$220.000.000,Entre 10 y 20 años,82 m²,82 m²,$220.000.000,1.0
2,2,3,49,10159-M4958724,El Libertador,$160.000.000,Más de 20 años,49 m²,48 m²,,
2,2,3,354,11295-M3297796,SAN FRANCISCO,$530.427.129,Entre 10 y 20 años,354 m²,354 m²,,
3,2,1,52,16742-M4884787,OIKOS MONTEVERDE,$220.000.000,Entre 5 y 10 años,52 m²,52 m²,$146.000,1.0
5,3,3,147,10159-M4057352,Gaitan,$330.000.000,Más de 20 años,147 m²,143 m²,,
4,4,3,466,3072-M3395906,centro historico,$1.200.000.000,Más de 20 años,466 m²,466 m²,,3.0
3,3,4,240,3072-M4697534,Lombardia,$750.000.000,Entre 0 y 5 años,240 m²,240 m²,$230.000,2.0
3,2,4,101,MC4869792,SECTOR MALDONADO   GLORIETA NORTE,$320.000.000,Entre 5 y 10 años,101 m²,101 m²,$268.000,1.0
5,5,3,720,11295-M3608718,Mirador del Lago,$750.000.000,Entre 5 y 10 años,720 m²,720 m²,$220.000,1.0
1,1,3,27,11295-M4770230,PARQUE PINZON TUNJA,$120.000.000,Entre 5 y 10 años,27 m²,27 m²,$120.000.000,
2,3,4,75,16742-M4946289,Vivente,$320.000.000,Entre 5 y 10 años,75.26 m²,75.26 m²,$287.000,1.0
2,1,3,50,MC4806263,Jorge Eliecer Gaitan,$185.000.000,Entre 0 y 5 años,50 m²,50 m²,,1.0
3,2,3,62,10278-M4693487,La Florida,$202.900.000,Entre 0 y 5 años,62.32 m²,55.56 m²,,1.0
5,4,3,220,10159-M4693097,La Florida,$315.000.000,Entre 5 y 10 años,220 m²,210 m²,,
4,3,4,202,11295-M4264695,CC BULEVAR TUNJA,$475.000.000,Entre 10 y 20 años,202 m²,202 m²,,2.0
3,2,3,65,MC2456423,San Laureano,$172.000.000,Entre 0 y 5 años,65 m²,60.61 m²,$49.000,
4,3,3,120,11295-M4137361,LOS HONGOS,$200.000.000,Entre 10 y 20 años,120 m²,120 m²,,1.0
3,3,5,80,16742-M4806536,Edificio quinta santana,$320.000.000,Entre 10 y 20 años,80 m²,80 m²,,1.0
3,3,3,125,MC4513166,Santa Ana,$449.000.000,Entre 0 y 5 años,125 m²,120 m²,,1.0
3,2,3,74,10159-M4261924,Tunja,$180.000.000,Entre 5 y 10 años,74.03 m²,74.03 m²,$98.000,1.0
3,2,4,68,10159-M3894838,Las Nieves,$255.000.000,Entre 5 y 10 años,68 m²,65 m²,$53.000,1.0
4,4,5,240,3072-M4754791,LOMBARDIA,$800.000.000,Entre 0 y 5 años,240 m²,240 m²,$200.000,1.0
2,2,3,354,11295-M3608990,San Francisco,$530.427.129,Entre 5 y 10 años,354.07 m²,357.07 m²,,
3,2,4,80,MC2340266,Unicentro,$250.000.000,Entre 0 y 5 años,80 m²,80 m²,$190.000,1.0
1,1,5,32,MC4901383,Las Quintas,$140.000.000,Entre 0 y 5 años,32 m²,29.9 m²,$50.000,
4,4,5,137,11295-M3559600,In Altezza,$531.000.000,Entre 5 y 10 años,137.5 m²,137.5 m²,$338.000,1.0
5,3,2,87,10159-M4261828,Nazareth,$500.000.000,Más de 20 años,87 m²,427 m²,,
3,3,4,89,10159-M4892573,Fuente Higueras,$280.000.000,Entre 10 y 20 años,89.5 m²,89.5 m²,$130.000,1.0
5,5,4,370,MC4137935,urapanes,$1.100.000.000,Entre 10 y 20 años,370 m²,370 m²,,2.0
4,3,5,101,MC4355277,mesopotamia,$320.000.000,Entre 10 y 20 años,101 m²,101 m²,$377.000,1.0
2,2,5,52,MC4538304,Alameda de Unicentro,$280.000.000,Entre 0 y 5 años,52 m²,50 m²,$185.000,1.0
3,2,5,75,11295-M4893877,SECTOR MESOPOTAMIA TUNJA,$250.000.000,Entre 10 y 20 años,75 m²,75 m²,$150.000,1.0
5,5,5,137,11295-M3556844,In Altezza,$531.000.000,Entre 5 y 10 años,137.54 m²,137.54 m²,$358.000,1.0
2,1,3,42,MC4962781,UPTC MEDICINA   CENTRO,$178.000.000,Entre 0 y 5 años,42 m²,42 m²,,
3,1,2,83,MC4941029,Villa del Rosario,$95.000.000,Entre 0 y 5 años,83 m²,73 m²,,1.0
5,4,5,210,MC4977324,El Lago,$800.000.000,Entre 0 y 5 años,210 m²,697 m²,$291.000,2.0
3,4,5,200,MC4951498,Santa Ines Reservado,$870.000.000,Entre 0 y 5 años,200.7 m²,191.8 m²,$892.000,2.0
4,3,4,156,MC4900716,Las Quintas,$430.000.000,Entre 10 y 20 años,156 m²,156 m²,,1.0
5,5,4,435,11295-M3308508,,$750.000.000,Entre 5 y 10 años,435 m²,720 m²,$220.000,1.0
2,2,4,150,11295-M3972852,Los Muiscas,$280.000.000,Entre 5 y 10 años,150 m²,150 m²,,1.0
1,1,4,55,11295-M3470246,NORTE,$160.000.000,Entre 5 y 10 años,55 m²,55 m²,,
3,2,2,72,10159-M4892532,Santa Lucia,$280.000.000,Entre 0 y 5 años,72.7 m²,68 m²,$60.000,
1,1,3,30,MC4925707,San Laureano ,$95.000.000,Entre 10 y 20 años,30 m²,30 m²,,
3,2,3,62,10278-M4675763,La Florida,$201.900.000,Entre 0 y 5 años,62.32 m²,55.56 m²,,1.0
5,5,3,763,MC4723427,Plaza de Bolivar Centro Historico,$2.650.000.000,Más de 20 años,763 m²,763 m²,,
2,2,3,68,11295-M4893760,Sector Paraíso Tunja,$160.000.000,Remodelado,68 m²,68 m²,$20.000,
2,1,5,51,16742-M4943605,GRAN RESERVA,$240.000.000,Entre 10 y 20 años,51.87 m²,51.87 m²,$200.000,1.0
2,2,3,49,11295-M4851186,Sector las americas Tunja,$160.000.000,Entre 10 y 20 años,49 m²,49 m²,$160.000.000,
1,2,4,49,11295-M3607311,norte,$1.600.000.000,Entre 5 y 10 años,49 m²,49 m²,,
2,2,5,79,MC4343566,Mirador del Country,$309.665.000,Entre 0 y 5 años,79 m²,79 m²,$192.000,1.0
3,2,5,102,MC4492980,MIRADOR DEL COUNTRY,$400.000.000,Entre 0 y 5 años,102 m²,102 m²,,2.0
2,1,3,56,MC4765267,Universidad de Boyaca ,$175.000.000,Más de 20 años,56 m²,52 m²,$139.000,1.0
5,3,3,240,MC4946662,las nieves,$600.000.000,Entre 10 y 20 años,240 m²,300 m²,,1.0
5,4,3,240,MC4962547,URBANIZACION MANATIAL DEL NORTE,$600.000.000,Entre 0 y 5 años,240 m²,240 m²,$10,2.0
3,1,1,53,MC4947669,Antonia santos,$130.000.000,Entre 5 y 10 años,53 m²,53 m²,$25.000,
3,3,5,138,MC4954891,Arboleda,$570.000.000,Entre 5 y 10 años,138.2 m²,154 m²,$358.000,2.0
4,3,4,130,MC4986469,San Ignacio ,$380.000.000,Entre 10 y 20 años,130 m²,127 m²,$320.000,1.0
3,2,3,56,MC4990176,Arboreto ,$165.000.000,Entre 5 y 10 años,56 m²,53.5 m²,$95.000,
1,1,3,29,MC4963341,Gaitan,$125.000.000,Entre 10 y 20 años,29 m²,33 m²,$30.000,
3,3,3,99,MC4953938,patriotas,$230.000.000,Remodelado,99.68 m²,67.5 m²,,1.0
